lead_title,lead_location,matched_listing_title,matched_listing_location,similarity_score
Heizung Sanitärbetrieb im Raum Celle - Hannover gesucht,"Niedersachen > Celle
Niedersachen > Hannover",NACHFOLGER FÜR TISCHLEREI GESUCHT,Niedersachsen > Hannover > Region Hannover,0.2747671776732425
Schreinermeister sucht Tischlerei zur Übernahme,Hessen,Möbelwerkstätte sucht Schreinermeister (m/w/d) für spätere Betriebs-Übernahme.,Hessen,0.11687429565216562
Heizungsbaumeister sucht SHK Betrieb,Bayern > Nürnberg,etablierte Schreinerei sucht geeigneten Nachfolger,Bayern,0.08408317468289328
SHK Betrieb in Sachsen gesucht,"Sachsen > Chemnitz
Sachsen > Zwickau",Nachfolger für Tischlerei - Glaserei Region Leipzig gesucht,Sachsen > Leipzig > Nordsachsen,0.11535948548347354
Heizungsbaumeister sucht SHK Betrieb,"Niedersachsen > Hannover
Niedersachsen > Celle",Lacktechnikbetrieb| Landkreis Osnabrück,"Niedersachsen > Weser-Ems > Osnabrück, Landkreis",0.1630432139752772
Angehender Heizungsbaumeister sucht SHK Betrieb,"Niedersachsen > Oldenburg
Niedersachsen > Osnabrück
Niedersachsen > Hannover
Bremen
Hamburg",Lacktechnikbetrieb| Landkreis Osnabrück,"Niedersachsen > Weser-Ems > Osnabrück, Landkreis",0.13758681227850975
Schlossermeister sucht weiteren Schlosserei-Betrieb zur Übernahme.,"Baden-Württemberg > Mannheim
Baden-Württemberg > Karlsruhe
Baden-Württemberg > Pforzheim
Baden-Württemberg > Stuttgart",Holzbaubetrieb sucht Nachfolger zur Pacht (auch gewerkefremd),Baden-Württemberg > Karlsruhe > Baden-Baden,0.07707042574127408
Schreinermeister sucht Tischlerei,"Hessen > Wiesbaden
Hessen > Mainz
Hessen > Rüdesheim am Rhein","Kleine Zimmerei sucht Käufer, auch für gewerkefremde Interessenten.",Hessen > Gießen > Vogelsbergkreis,0.14295068292297813
Industriemeister Metall sucht Schlosserei zur Übernahme,"Baden Württemberg > Karlsruhe
Baden Württemberg > Karlsruhe > Mannheim",Holzbaubetrieb sucht Nachfolger zur Pacht (auch gewerkefremd),Baden-Württemberg > Karlsruhe > Baden-Baden,0.08422618498755248
